timestamp,voltage,current,temperature,cycle_count,capacity_ah,rated_capacity_ah
0.0,3.916,-1.084,38.6,75,95.832,100
300.0,3.635,-1.048,35.0,150,91.786,100
600.0,3.666,1.742,33.6,225,87.596,100
900.0,3.992,1.23,27.9,300,83.497,100
1200.0,3.816,-0.306,32.0,375,79.335,100
1500.0,3.937,1.937,26.5,450,75.273,100
1800.0,3.77,1.447,28.7,525,71.115,100
2100.0,3.824,-0.312,29.2,600,66.969,100
2400.0,4.062,-0.227,37.9,675,62.85,100
2700.0,3.625,1.997,37.5,750,58.755,100
3000.0,4.063,1.395,27.5,825,54.672,100
3300.0,3.707,-0.396,25.9,900,50.499,100
3600.0,4.093,-0.939,36.8,975,46.363,100
3900.0,3.812,1.829,39.9,1050,42.246,100
4200.0,3.959,-1.381,29.5,1125,38.131,100
4500.0,3.89,0.169,36.2,1200,34.047,100
4800.0,3.892,0.011,37.8,1275,29.831,100
5100.0,4.08,-1.68,27.8,1350,25.716,100
5400.0,3.938,-1.059,26.8,1425,21.635,100
5700.0,3.723,0.378,34.3,1500,17.539,100
