timestamp,voltage,current,temperature,cycle_count,capacity_ah,rated_capacity_ah
0.0,3.731,0.338,38.5,40,98.806,100
300.0,3.71,1.99,32.6,80,97.59,100
600.0,3.624,-1.561,34.4,120,96.359,100
900.0,3.811,-1.746,30.7,160,95.229,100
1200.0,3.865,1.884,37.9,200,94.05,100
1500.0,3.96,0.727,33.1,240,92.751,100
1800.0,3.92,-1.554,31.5,280,91.577,100
2100.0,4.077,1.503,29.0,320,90.395,100
2400.0,3.689,1.651,38.1,360,89.2,100
2700.0,3.919,0.436,27.3,400,87.98,100
3000.0,3.87,1.115,33.0,440,86.826,100
3300.0,3.762,-1.922,38.9,480,85.55,100
3600.0,4.016,-0.77,25.9,520,84.438,100
3900.0,4.073,-1.657,32.3,560,83.238,100
4200.0,3.98,1.063,26.9,600,81.957,100
4500.0,3.875,-0.94,38.1,640,80.798,100
4800.0,3.706,0.157,35.9,680,79.592,100
5100.0,3.756,1.981,34.7,720,78.37,100
5400.0,3.859,-1.516,28.4,760,77.194,100
5700.0,3.894,-1.08,28.3,800,75.984,100
